Textbox_UWAGA,Textbox_UWAGA2,Textbox_TYTUL,Textbox_PARAMETRY
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2020 IX,"37,3"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2020 X,"40,2"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2020 XI,"39,7"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2020 XII,"37,8"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 I,"42,3"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 II,"33,5"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 III,"35,6"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 IV,"34,9"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 V,"37,3"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 VI,"40,6"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 VII,"40,0"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 VIII,"44,9"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 IX,"47,3"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 X,"43,4"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 XI,"45,3"
Wyszczególnienie,Bariery działalności - niedobór wykwalifikowanych pracowników [%],2021 XII,"42,7"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 I,"1,7"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 II,"1,3"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 III,"0,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 IV,"0,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 V,"1,3"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 VI,"0,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 VII,"1,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 VIII,"1,3"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 IX,"1,7"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 X,"0,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 XI,"2,2"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2014 XII,"0,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 I,"0,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 II,"0,5"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 III,"0,5"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 IV,"1,1"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 V,"1,5"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 VI,"0,0"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 VII,"0,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 VIII,"0,0"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 IX,"1,6"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 X,"1,6"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 XI,"2,5"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2015 XII,"3,0"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 I,"0,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 II,"2,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 III,"2,3"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 IV,"3,0"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 V,"3,3"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 VI,"3,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 VII,"3,6"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 VIII,"4,4"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 IX,"6,5"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 X,"5,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 XI,"3,1"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2016 XII,"3,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 I,"2,4"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 II,"0,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 III,"0,0"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 IV,"0,0"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 V,"1,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 VI,"0,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 VII,"3,3"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 VIII,"4,6"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 IX,"4,6"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 X,"5,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 XI,"8,6"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2017 XII,"6,7"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 I,"8,0"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 II,"6,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 III,"6,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 IV,"8,5"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 V,"7,6"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 VI,"9,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 VII,"12,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 VIII,"12,4"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 IX,"11,3"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 X,"13,5"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 XI,"13,5"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2018 XII,"10,2"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 I,"10,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 II,"10,6"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 III,"14,3"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 IV,"13,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 V,"14,7"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 VI,"8,4"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 VII,"12,4"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 VIII,"8,1"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 IX,"10,0"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 X,"8,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 XI,"8,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2019 XII,"8,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 I,"8,3"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 II,"7,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 III,"7,2"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 IV,"16,3"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 V,"9,5"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 VI,"9,0"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 VII,"8,6"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 VIII,"9,8"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 IX,"5,4"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 X,"7,0"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 XI,"5,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2020 XII,"1,2"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 I,"3,1"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 II,"4,3"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 III,"3,2"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 IV,"5,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 V,"9,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 VI,"9,4"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 VII,"9,5"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 VIII,"13,9"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 IX,"14,6"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 X,"11,1"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 XI,"20,2"
Wyszczególnienie,Bariery działalności - niedobór sprzętu oraz/lub materiałów i surowców (z przyczyn pozafinansowych) [%],2021 XII,"15,3"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 I,"45,6"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 II,"45,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 III,"45,4"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 IV,"42,8"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 V,"44,7"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 VI,"50,9"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 VII,"45,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 VIII,"46,3"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 IX,"43,7"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 X,"46,1"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 XI,"51,5"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2014 XII,"45,8"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 I,"45,3"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 II,"47,0"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 III,"43,8"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 IV,"44,9"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 V,"47,4"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 VI,"48,8"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 VII,"46,0"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 VIII,"48,9"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 IX,"51,5"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 X,"46,8"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 XI,"48,0"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2015 XII,"47,6"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 I,"48,9"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 II,"52,8"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 III,"46,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 IV,"48,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 V,"46,5"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 VI,"47,1"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 VII,"47,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 VIII,"44,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 IX,"49,8"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 X,"46,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 XI,"46,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2016 XII,"51,3"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 I,"44,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 II,"48,1"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 III,"51,5"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 IV,"47,6"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 V,"48,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 VI,"48,5"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 VII,"50,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 VIII,"52,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 IX,"48,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 X,"50,9"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 XI,"52,3"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2017 XII,"52,4"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 I,"48,6"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 II,"47,1"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 III,"48,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 IV,"50,9"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 V,"52,8"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 VI,"54,0"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 VII,"58,8"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 VIII,"53,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 IX,"59,1"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 X,"61,3"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 XI,"62,5"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2018 XII,"59,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 I,"59,0"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 II,"60,6"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 III,"63,9"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 IV,"61,4"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 V,"63,0"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 VI,"61,4"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 VII,"58,1"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 VIII,"59,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 IX,"60,7"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 X,"57,7"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 XI,"62,6"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2019 XII,"61,1"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 I,"58,6"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 II,"62,8"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 III,"60,0"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 IV,"52,3"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 V,"55,9"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 VI,"52,7"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 VII,"58,7"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 VIII,"53,3"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 IX,"52,2"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 X,"52,7"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 XI,"51,5"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2020 XII,"49,4"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 I,"47,1"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 II,"53,1"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 III,"47,1"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 IV,"51,6"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 V,"55,4"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 VI,"57,1"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 VII,"58,0"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 VIII,"57,5"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 IX,"58,5"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 X,"61,3"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 XI,"60,9"
Wyszczególnienie,Bariery działalności - koszty zatrudnienia [%],2021 XII,"57,6"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 I,"25,5"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 II,"24,8"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 III,"28,5"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 IV,"27,0"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 V,"28,2"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 VI,"25,7"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 VII,"24,1"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 VIII,"24,3"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 IX,"21,6"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 X,"22,1"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 XI,"21,4"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2014 XII,"23,5"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 I,"20,1"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 II,"20,8"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 III,"23,1"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 IV,"22,3"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 V,"18,4"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 VI,"21,9"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 VII,"17,8"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 VIII,"19,3"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 IX,"20,6"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 X,"19,3"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 XI,"18,0"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2015 XII,"19,3"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 I,"14,6"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 II,"17,7"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 III,"16,7"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 IV,"20,1"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 V,"17,7"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 VI,"22,1"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 VII,"20,1"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 VIII,"19,0"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 IX,"18,9"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 X,"20,1"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 XI,"18,5"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2016 XII,"19,7"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 I,"16,6"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 II,"18,3"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 III,"19,7"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 IV,"19,2"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 V,"17,7"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 VI,"16,9"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 VII,"19,7"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 VIII,"21,7"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 IX,"21,8"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 X,"26,9"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 XI,"24,2"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2017 XII,"28,0"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2018 I,"24,4"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2018 II,"28,1"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2018 III,"27,3"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2018 IV,"25,3"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2018 V,"27,1"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2018 VI,"28,0"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2018 VII,"31,4"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2018 VIII,"34,7"
Wyszczególnienie,Bariery działalności - koszty materiałów [%],2018 IX,"36,2"
